"id_discente","ano_ingresso","campus","curso","modalidade","forma_ingresso"
2023002251,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023009682,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023007294,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023012973,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023012937,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023010629,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023007740,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023013335,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023012623,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023001521,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023003660,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023003769,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023003965,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023012679,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023004309,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023007632,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023001700,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023002331,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023004031,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023004096,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023006081,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
2023010431,2023,Itajuba,CIÊNCIAS ATMOSFÉRICAS,PRESENCIAL,SISU
