"id_discente","curso","ano_colacao","campus"
*******751,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
*******333,ENGENHARIA AMBIENTAL,2022,Campus de Itabira2022
*******460,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
*******964,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
**936,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
*******661,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
**049,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
*******870,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
**160,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
**192,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
**458,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
*******252,ENGENHARIA AMBIENTAL,2022,Campus de Itabira
**064,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**616,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
*******898,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
*******834,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**218,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
*******975,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**723,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**081,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**612,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**693,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
*******718,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**769,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
*******597,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**087,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**893,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**412,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**195,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**626,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**936,ENGENHARIA DA MOBILIDADE,2022,Campus de Itabira
**208,ENGENHARIA DE COMPUTA��O,2022,Campus de Itabira
