"id_discente","ano_ingresso","campus","curso","modalidade","forma_ingresso"
31446,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31444,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31457,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33166,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
34356,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31471,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31448,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33417,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33409,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33845,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33151,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31454,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33933,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33406,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31467,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31464,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31445,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33664,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31437,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31460,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
34357,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
33155,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31479,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
31463,2019,Itabira,ENGENHARIA AMBIENTAL,PRESENCIAL,SISU
